"Material Request","Shipping Core","Arrangement","Warehouse Origen","Warehouse Destino","Total Transfer Job","Transfer Job Cerradas","Transfer Job Pendientes","Qty total","Items en Delivered","Avance","Arrangement Status","MR creation","MR required by","Arr in progress","Fecha arr done","tiempo total MR (h)","tiempo operativo (h)"
"MAT-REQ-2026-00065c55","Material Request-MAT-REQ-2026-00065c55-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 8c8a4ab7","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV",26,"",26,200,"","","In progress","2026-05-04 00:19:10.720562","2026-05-09","2026-05-04 00:24:38.327051","-","24.45","24.36"
"MAT-REQ-2026-0894de78","Material Request-MAT-REQ-2026-0894de78-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 2e22f2d1","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",293,"","","Failed","2026-05-04 00:19:07.905405","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-09297215","Material Request-MAT-REQ-2026-09297215-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 9339b6e4","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",214,"","","Cancelled","2026-04-21 00:15:58.132547","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-0cea635f","Material Request-MAT-REQ-2026-0cea635f-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - 9fab3aac","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",425,"","","Cancelled","2026-04-21 00:15:51.161303","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-0fa41d92","Material Request-MAT-REQ-2026-0fa41d92-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - db24c55b","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",228,"","","Cancelled","2026-04-21 00:15:45.748248","2026-04-26","","-","336.51","-"
"MAT-REQ-2026-12846a74","Material Request-MAT-REQ-2026-12846a74-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - ef0a3691","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",268,"","","Cancelled","2026-04-21 00:15:55.915510","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-1336a53f","Material Request-MAT-REQ-2026-1336a53f-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00 - a5beb50d","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",1117,"","","Cancelled","2026-04-21 00:15:59.283289","2026-04-26","","-","336.50","-"
"MAT-REQ-2026-16693bc7","Material Request-MAT-REQ-2026-16693bc7-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 5c90e9e9","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",749,"","","Failed","2026-05-04 00:19:16.048150","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-16bdbbd4","Material Request-MAT-REQ-2026-16bdbbd4-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-05-09 00:00:00 - 4ad640a9","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",156,"","","Failed","2026-05-04 00:19:13.258078","2026-05-09","","-","24.45","-"
"MAT-REQ-2026-18c1b3be","Material Request-MAT-REQ-2026-18c1b3be-shipping","Interwarehouse - MEX1 - D2C - KSMV - 2026-04-26 00:00:00","MEX1 - B2B - KSMV","MEX1 - D2C - KSMV","","","",334,"","","Cancelled","2026-04-21 00:15:50.875947","2026-04-26","","-","336.50","-"
